formulaA,formulaB,formulaA_elements_AtomicVolume,formulaB_elements_AtomicVolume,formulaA_elements_AtomicWeight,formulaB_elements_AtomicWeight,formulaA_elements_BoilingT,formulaB_elements_BoilingT,formulaA_elements_BulkModulus,formulaB_elements_BulkModulus,formulaA_elements_Column,formulaB_elements_Column,formulaA_elements_CovalentRadius,formulaB_elements_CovalentRadius,formulaA_elements_Density,formulaB_elements_Density,formulaA_elements_ElectronSurfaceDensityWS,formulaB_elements_ElectronSurfaceDensityWS,formulaA_elements_Electronegativity,formulaB_elements_Electronegativity,formulaA_elements_FirstIonizationEnergy,formulaB_elements_FirstIonizationEnergy,formulaA_elements_GSbandgap,formulaB_elements_GSbandgap,formulaA_elements_GSenergy_pa,formulaB_elements_GSenergy_pa,formulaA_elements_GSestBCClatcnt,formulaB_elements_GSestBCClatcnt,formulaA_elements_GSestFCClatcnt,formulaB_elements_GSestFCClatcnt,formulaA_elements_GSmagmom,formulaB_elements_GSmagmom,formulaA_elements_GSvolume_pa,formulaB_elements_GSvolume_pa,formulaA_elements_HHIp,formulaB_elements_HHIp,formulaA_elements_HHIr,formulaB_elements_HHIr,formulaA_elements_HeatCapacityMass,formulaB_elements_HeatCapacityMass,formulaA_elements_HeatCapacityMolar,formulaB_elements_HeatCapacityMolar,formulaA_elements_HeatFusion,formulaB_elements_HeatFusion,formulaA_elements_ICSDVolume,formulaB_elements_ICSDVolume,formulaA_elements_IsAlkali,formulaB_elements_IsAlkali,formulaA_elements_IsDBlock,formulaB_elements_IsDBlock,formulaA_elements_IsFBlock,formulaB_elements_IsFBlock,formulaA_elements_IsMetal,formulaB_elements_IsMetal,formulaA_elements_IsMetalloid,formulaB_elements_IsMetalloid,formulaA_elements_IsNonmetal,formulaB_elements_IsNonmetal,formulaA_elements_MeltingT,formulaB_elements_MeltingT,formulaA_elements_MendeleevNumber,formulaB_elements_MendeleevNumber,formulaA_elements_MiracleRadius,formulaB_elements_MiracleRadius,formulaA_elements_NUnfilled,formulaB_elements_NUnfilled,formulaA_elements_NValance,formulaB_elements_NValance,formulaA_elements_NdUnfilled,formulaB_elements_NdUnfilled,formulaA_elements_NdValence,formulaB_elements_NdValence,formulaA_elements_NfUnfilled,formulaB_elements_NfUnfilled,formulaA_elements_NfValence,formulaB_elements_NfValence,formulaA_elements_NpUnfilled,formulaB_elements_NpUnfilled,formulaA_elements_NpValence,formulaB_elements_NpValence,formulaA_elements_NsUnfilled,formulaB_elements_NsUnfilled,formulaA_elements_NsValence,formulaB_elements_NsValence,formulaA_elements_Number,formulaB_elements_Number,formulaA_elements_Polarizability,formulaB_elements_Polarizability,formulaA_elements_Row,formulaB_elements_Row,formulaA_elements_ShearModulus,formulaB_elements_ShearModulus,formulaA_elements_SpaceGroupNumber,formulaB_elements_SpaceGroupNumber,avg_coordination_A,avg_coordination_B,avg_nearest_neighbor_distance_A,avg_nearest_neighbor_distance_B
4,23,37184.2854228,11.7773649695,39.948,55.845,87.2,3134.0,0.0,170.0,18.0,8.0,106.0,132.0,1.784,7874.0,0.0,1.77,0.0,1.83,15.75961,7.9024,9.26,0.0,0.05854104,-8.28548436,3.850300758,2.778923379,4.851074973,3.501224062,0.0,2.1106628,28.54,10.73,0.0,2400.0,0.0,1400.0,0.52,0.449,20.786,25.1,1.18,13.81,36.3,11.78,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,83.8,1811.0,100.0,55.0,0.0,125.0,0.0,4.0,8.0,8.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,18.0,26.0,1.6411,8.4,3.0,4.0,0.0,82.0,225.0,229.0,12.0,8.0,3.98863,2.46654
47,72,13.9836976681,17.6363171588,190.23,47.867,5285.0,3560.0,0.0,110.0,8.0,4.0,144.0,160.0,22590.0,4507.0,1.85,1.52,2.2,1.54,8.43823,6.82812,0.0,0.0,-11.22070399,-7.77522712,3.043082054,3.219799121,3.834043137,4.056692689,0.0,2.25333333333e-05,14.09,16.69,5500.0,1100.0,9100.0,1600.0,0.13,0.524,24.7,25.06,57.85,14.15,13.8,17.67,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3306.0,1941.0,57.0,43.0,135.0,142.0,4.0,8.0,22.0,4.0,4.0,8.0,6.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,76.0,22.0,8.5,14.6,6.0,4.0,222.0,44.0,194.0,194.0,12.0,8.0,2.69382,2.70452
31,43,26.0826581604,34.1690548825,114.818,144.242,2345.0,3373.0,0.0,32.0,13.0,3.0,142.0,201.0,7310.0,7010.0,1.17,1.2,1.78,1.14,5.78636,5.525,0.0,0.0,-2.66680196,-4.76235134,3.647317727,4.1138142,4.595332379,5.183081107,0.0,0.0,24.26,34.81,3300.0,9500.0,2000.0,3100.0,0.233,0.19,26.74,27.45,3.291,7.14,26.14,34.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,429.75,1294.0,75.0,19.0,155.0,182.0,5.0,10.0,13.0,6.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,49.0,60.0,9.65,31.4,5.0,6.0,0.0,16.0,139.0,194.0,12.0,12.0,3.33944,3.6671
2,64,17.0756479499,33.956819013,107.8682,150.36,2435.0,2076.0,100.0,38.0,11.0,3.0,145.0,198.0,10490.0,7353.0,1.36,1.21,1.93,1.17,7.57623,5.6437,0.0,0.0,-2.76539356,-4.713379635,3.196480506,4.050607032,4.027313074,5.103445064,0.0,0.0,16.33,33.23,1200.0,9500.0,1400.0,3100.0,0.235,0.196,25.35,29.54,11.3,8.62,17.05,33.14,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1234.93,1345.0,65.0,23.0,144.0,185.0,1.0,8.0,11.0,8.0,0.0,0.0,10.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,47.0,62.0,6.99,28.8,5.0,6.0,30.0,20.0,225.0,166.0,12.0,12.0,2.94195,3.61456
38,30,23.2222930956,42.6588574686,24.305,126.90447,1363.0,457.3,45.0,7.7,2.0,17.0,141.0,139.0,1738.0,4940.0,1.17,0.0,1.31,2.66,7.646235,10.45126,0.0,1.062,-1.54227231,-1.5054024175,3.577326635,4.414518159,4.50714913,5.561944354,0.0,0.0,22.89,43.015,5300.0,4900.0,500.0,4800.0,1.023,0.214,24.869,54.43,8.48,7.76,23.48,42.51,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,923.0,386.85,68.0,96.0,160.0,0.0,0.0,1.0,2.0,17.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,12.0,53.0,10.7666666667,5.025,3.0,5.0,17.0,0.0,194.0,64.0,12.0,1.0,3.18377,2.81108
68,7,32.1094927554,7.29776726528,158.92535,10.811,3503.0,4273.0,38.7,320.0,3.0,13.0,194.0,84.0,8219.0,2460.0,1.22,1.75,1.21,2.04,5.8638,8.29802,0.0,1.524,-4.62921769667,-6.67769815417,3.988997542,2.429779429,5.025821971,3.061330249,0.0,0.0,31.7366666667,7.1725,9500.0,2900.0,3100.0,2000.0,0.182,1.026,28.91,11.087,10.15,50.2,31.95,7.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1629.0,2348.0,29.0,72.0,176.0,88.0,5.0,5.0,11.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,65.0,5.0,25.5,3.03,6.0,2.0,22.0,0.0,194.0,166.0,12.0,5.5,3.54101,1.72536
60,28,30.1914234438,24.6117420696,121.76,200.59,1860.0,629.73,42.0,25.0,15.0,12.0,139.0,132.0,6697.0,13534.0,1.26,1.24,2.05,2.0,8.60839,10.4375,0.0,0.0,-4.11736234,-0.250105562414,3.981581991,3.695665057,5.016478962,4.656246199,0.0,0.0,31.56,25.2375862069,7900.0,5500.0,3400.0,3100.0,0.207,0.14,25.23,27.983,19.79,2.295,30.21,23.82,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,903.78,234.32,85.0,71.0,155.0,152.0,3.0,0.0,15.0,26.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,14.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,51.0,80.0,6.6,5.36,5.0,6.0,20.0,0.0,166.0,166.0,3.0,12.0,2.95449,3.3977
81,30,15.2056837348,42.6588574686,65.38,126.90447,1180.0,457.3,70.0,7.7,12.0,17.0,122.0,139.0,7140.0,4940.0,1.32,0.0,1.65,2.66,9.394199,10.45126,0.0,1.062,-1.239999915,-1.5054024175,3.033694224,4.414518159,3.822215211,5.561944354,0.0,0.0,13.96,43.015,1600.0,4900.0,1900.0,4800.0,0.388,0.214,25.39,54.43,7.068,7.76,15.19,42.51,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,692.68,386.85,69.0,96.0,140.0,0.0,0.0,1.0,12.0,17.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,30.0,53.0,-5.8166666667,5.025,4.0,5.0,43.0,0.0,194.0,64.0,6.0,1.0,2.62673,2.81108
8,47,64.9692816747,13.9836976681,137.327,190.23,2143.0,5285.0,9.6,0.0,2.0,8.0,215.0,144.0,3510.0,22590.0,0.81,1.85,0.89,2.2,5.211664,8.43823,0.0,0.0,-1.92352226,-11.22070399,5.028899311,3.043082054,6.3360161,3.834043137,0.0,0.0,63.59,14.09,3000.0,5500.0,2300.0,9100.0,0.204,0.13,28.07,24.7,7.12,57.85,62.88,13.8,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0,3306.0,9.0,57.0,223.0,135.0,0.0,4.0,2.0,22.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,56.0,76.0,39.7,8.5,6.0,6.0,4.9,222.0,229.0,194.0,8.0,12.0,4.35637,2.69382
49,34,24.9611606283,37107.4947415,231.03586,83.798,4273.0,119.78,0.0,0.0,3.0,18.0,200.0,116.0,15370.0,3.75,0.0,0.0,1.5,3.0,5.89,13.99961,0.0,7.535,-9.49741247,0.08753524,3.692852039,4.162477568,4.652702018,5.244393107,0.0,0.0,25.18,36.06,0.0,0.0,0.0,0.0,0.0,0.248,0.0,20.786,12.34,1.164,24.94,44.81,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1845.0,115.79,18.0,101.0,165.0,0.0,21.0,0.0,5.0,18.0,9.0,0.0,1.0,10.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,91.0,36.0,25.4,2.4844,7.0,4.0,0.0,0.0,139.0,225.0,12.0,12.0,3.29125,4.59369
21,70,30.636068367,33.9566887225,167.259,127.6,3141.0,1261.0,44.0,65.0,3.0,16.0,189.0,138.0,9066.0,6240.0,1.23,0.0,1.24,2.1,6.1077,9.0096,0.0,0.464,-4.563633745,-3.14130250667,3.940150647,4.111975037,4.964278739,5.180763906,0.0,0.0,30.585,34.7633333333,9500.0,2900.0,3100.0,4900.0,0.168,0.202,28.12,25.73,19.9,17.38,30.67,33.94,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1770.0,722.66,35.0,90.0,175.0,140.0,2.0,2.0,14.0,16.0,0.0,0.0,0.0,10.0,2.0,0.0,12.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,68.0,52.0,22.7,5.5,6.0,5.0,28.0,16.0,194.0,152.0,12.0,2.0,3.46096,2.89227
1,29,37.433086297,31.1403799108,227.0,164.93032,3473.0,2973.0,0.0,40.0,3.0,3.0,215.0,192.0,10070.0,8795.0,0.0,1.22,1.1,1.23,5.17,6.0215,0.0,0.0,-4.1050022975,-4.57741687667,4.465163104,3.946510119,5.625752986,4.972291172,0.0,0.0,44.5125,30.7333333333,0.0,9500.0,0.0,3100.0,0.12,0.165,27.2,27.15,12.0,11.76,37.45,31.11,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1323.0,1747.0,14.0,33.0,0.0,177.0,9.0,3.0,3.0,13.0,9.0,0.0,1.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,89.0,67.0,32.1,23.6,7.0,6.0,0.0,26.0,225.0,194.0,12.0,12.0,3.99462,3.48112
1,77,37.433086297,15.858734424,227.0,183.84,3473.0,5828.0,0.0,310.0,3.0,6.0,215.0,162.0,10070.0,19250.0,0.0,1.81,1.1,2.36,5.17,7.86403,0.0,0.0,-4.1050022975,-12.95880062,4.465163104,3.178105751,5.625752986,4.004162334,0.0,0.0,44.5125,16.05,0.0,7000.0,0.0,4300.0,0.12,0.132,27.2,24.27,12.0,52.31,37.45,15.85,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1323.0,3695.0,14.0,51.0,0.0,135.0,9.0,6.0,3.0,20.0,9.0,6.0,1.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,89.0,74.0,32.1,11.1,7.0,6.0,0.0,161.0,225.0,229.0,12.0,8.0,3.99462,2.76038
25,55,33.0497243138,92.640951845,157.25,85.4678,3523.0,961.0,38.0,2.5,3.0,1.0,196.0,220.0,7901.0,1532.0,1.21,0.6,1.2,0.82,6.1498,4.177128,0.0,0.0,-4.65442131,-0.963335025,4.002082249,5.661284779,5.042307669,7.132771862,0.0,0.0,32.05,90.7225,9500.0,6000.0,3100.0,6000.0,0.235,0.363,37.03,31.06,9.67,2.19,32.98,93.09,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1586.0,312.46,27.0,4.0,176.0,244.0,16.0,1.0,10.0,1.0,9.0,0.0,1.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,64.0,37.0,23.5,47.27,6.0,5.0,22.0,0.0,194.0,229.0,12.0,8.0,3.58601,4.89764
38,60,23.2222930956,30.1914234438,24.305,121.76,1363.0,1860.0,45.0,42.0,2.0,15.0,141.0,139.0,1738.0,6697.0,1.17,1.26,1.31,2.05,7.646235,8.60839,0.0,0.0,-1.54227231,-4.11736234,3.577326635,3.981581991,4.50714913,5.016478962,0.0,0.0,22.89,31.56,5300.0,7900.0,500.0,3400.0,1.023,0.207,24.869,25.23,8.48,19.79,23.48,30.21,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,923.0,903.78,68.0,85.0,160.0,155.0,0.0,3.0,2.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,12.0,51.0,10.7666666667,6.6,3.0,5.0,17.0,20.0,194.0,166.0,12.0,3.0,3.18377,2.95449
27,22,37236.0355633,48.1212923577,4.002602,151.964,4.07,1800.0,0.0,8.3,18.0,3.0,28.0,198.0,0.1785,5244.0,0.0,0.88,0.0,1.185,24.587387,5.67038,18.098,0.0,0.0011354,-1.82958684,2.908733088,4.177811939,3.664774046,5.263713205,0.0,0.0,12.305,36.46,3200.0,9500.0,3900.0,3100.0,5.13,0.182,20.786,27.66,0.0,9.21,19.08,48.53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1095.0,98.0,25.0,0.0,196.0,0.0,7.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,63.0,0.2050522,27.7,1.0,6.0,0.0,7.9,225.0,229.0,8.0,12.0,2.73717,4.00957
13,67,42.9371873025,18.0467295592,40.078,180.94788,1757.0,5731.0,17.0,200.0,2.0,5.0,176.0,170.0,1550.0,16650.0,0.91,1.63,1.0,1.5,6.11316,7.54957,0.0,0.0,-1.948329565,-11.85139954,4.227260324,3.309248619,5.326014266,4.169391995,0.0,0.0,37.77,18.12,3900.0,2300.0,1500.0,4800.0,0.647,0.14,25.929,25.36,8.54,36.57,44.19,17.65,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1115.0,3290.0,7.0,48.0,201.0,145.0,0.0,7.0,2.0,19.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,20.0,73.0,25.7333333333,13.1,4.0,6.0,7.4,69.0,225.0,229.0,12.0,8.0,3.89661,2.8727
46,68,19.2448390133,32.1094927554,237.0,158.92535,4273.0,3503.0,0.0,38.7,3.0,3.0,190.0,194.0,20450.0,8219.0,0.0,1.22,1.36,1.21,6.2657,5.8638,0.0,0.0,-12.9403143562,-4.62921769667,3.329442683,3.988997542,4.194834921,5.025821971,0.0,0.0,18.45375,31.7366666667,0.0,9500.0,0.0,3100.0,0.0,0.182,0.0,28.91,3.2,10.15,19.22,31.95,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,917.0,1629.0,22.0,29.0,175.0,176.0,19.0,5.0,7.0,11.0,9.0,0.0,1.0,0.0,10.0,5.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,93.0,65.0,24.8,25.5,7.0,6.0,0.0,22.0,62.0,194.0,4.0,12.0,2.48626,3.54101
17,66,12.0929374739,55.3231307765,51.9961,87.62,2944.0,1655.0,160.0,0.0,6.0,2.0,139.0,195.0,7140.0,2630.0,1.73,0.84,1.66,0.95,6.76651,5.69485,0.0,0.0,-9.50571654,-1.6828136,2.818080279,4.768954732,3.550558664,6.008506453,0.0,0.0,11.19,54.23,3100.0,4200.0,4100.0,3000.0,0.449,0.306,23.35,26.79,21.0,7.43,12.01,56.08,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2180.0,1050.0,49.0,8.0,130.0,212.0,6.0,0.0,6.0,2.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,24.0,38.0,11.6,25.55,4.0,5.0,115.0,6.1,229.0,225.0,8.0,12.0,2.46785,4.26546
